feature,lasso_coef,abs_coef,selected
fluid_balance_24h,0.0,0.0,False
fluid_output_24h,0.0,0.0,False
psychiatric_burden,0.0,0.0,False
fluid_input_24h,0.0,0.0,False
hemoglobin_min,0.0,0.0,False
ast_max,0.0,0.0,False
calcium_min,0.0,0.0,False
glucose_max,0.0,0.0,False
dopamine,0.0,0.0,False
dysnatremia,0.0,0.0,False
cm_afib,0.0,0.0,False
cm_chf,0.0,0.0,False
benzodiazepine_any,0.0,0.0,False
cm_epilepsy,0.0,0.0,False
